hash,id_string,tags,acc,time,run_type,n_epochs,optim,lr,momentum,step_size,gamma,n_input_channels,pixel_size,ncats,loss_weights,train_class_sizes,val_class_sizes,class_acc,net,batch_size,num_workers,dim,agg_method
98b1bdf,98b1bdf_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.799871299871,11812.0502651,1,60,sgd,0.001,0.95,5,0.75,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.971042471042, 0.641891891892, 0.78667953668]",resnet101,64,16,224,mean
df82ccc,df82ccc_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.794723294723,11807.6630359,1,60,sgd,0.001,0.95,5,0.5,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.977799227799, 0.666988416988, 0.739382239382]",resnet101,64,16,224,mean
477dad3,477dad3_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.803732303732,11843.1431251,1,60,sgd,0.001,0.95,5,0.1,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.910231660232, 0.63416988417, 0.866795366795]",resnet101,64,16,224,mean
bfdb7f3,bfdb7f3_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.845238095238,11825.7762759,1,60,sgd,0.01,0.95,5,0.75,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.977799227799, 0.753861003861, 0.804054054054]",resnet101,64,16,224,mean
999ddae,999ddae_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.845881595882,11826.72771,1,60,sgd,0.01,0.95,5,0.5,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.956563706564, 0.775096525097, 0.805984555985]",resnet101,64,16,224,mean
f1d4fd1,f1d4fd1_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.842020592021,11827.353313,1,60,sgd,0.01,0.95,5,0.1,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.980694980695, 0.803088803089, 0.742277992278]",resnet101,64,16,224,mean
ee7f203,ee7f203_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.830115830116,11809.3316209,1,60,sgd,0.5,0.95,5,0.75,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.911196911197, 0.694980694981, 0.88416988417]",resnet101,64,16,224,mean
179b2b0,179b2b0_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.574646074646,11813.3400371,1,60,sgd,0.5,0.95,5,0.5,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.641891891892, 0.539575289575, 0.542471042471]",resnet101,64,16,224,mean
31a2de8,31a2de8_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.76833976834,11824.4737689,1,60,sgd,0.5,0.95,5,0.1,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.861969111969, 0.721042471042, 0.722007722008]",resnet101,64,16,224,mean
851233d,851233d_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.806306306306,11866.6942129,1,60,sgd,0.001,0.95,15,0.75,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.889961389961, 0.777992277992, 0.750965250965]",resnet101,64,16,224,mean
0c47abd,0c47abd_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.814993564994,11849.597472,1,60,sgd,0.001,0.95,15,0.5,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.88416988417, 0.736486486486, 0.824324324324]",resnet101,64,16,224,mean
080bb40,080bb40_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.79601029601,11856.77019,1,60,sgd,0.001,0.95,15,0.1,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.962355212355, 0.661196911197, 0.764478764479]",resnet101,64,16,224,mean
3733c9c,3733c9c_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.833655083655,11866.2689102,1,60,sgd,0.01,0.95,15,0.75,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.966216216216, 0.783783783784, 0.750965250965]",resnet101,64,16,224,mean
571d692,571d692_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.869047619048,11831.6173558,1,60,sgd,0.01,0.95,15,0.5,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.955598455598, 0.811776061776, 0.839768339768]",resnet101,64,16,224,mean
4bf50cd,4bf50cd_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.841377091377,11862.513484,1,60,sgd,0.01,0.95,15,0.1,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.932432432432, 0.888030888031, 0.703667953668]",resnet101,64,16,224,mean
f79cca2,f79cca2_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.344272844273,11817.3941519,1,60,sgd,0.5,0.95,15,0.75,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.0328185328185, 0.0, 1.0]",resnet101,64,16,224,mean
da62a03,da62a03_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.694337194337,11823.855691,1,60,sgd,0.5,0.95,15,0.5,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.830115830116, 0.569498069498, 0.683397683398]",resnet101,64,16,224,mean
4344059,4344059_2019_04_03_20_15_00.csv,"[20190403, 2010, raw_ntl]",0.645431145431,11823.1055322,1,60,sgd,0.5,0.95,15,0.1,8,0.12,3,"[1.0, 1.0, 1.0]","[5981, 5981, 5981]","[1036, 1036, 1036]","[0.819498069498, 0.557915057915, 0.55888030888]",resnet101,64,16,224,mean
